Overall rank,Country or region
1,Finland
2,Denmark
3,Iceland
4,Israel
5,Netherlands
6,Sweden
7,Norway
8, Switzerland
9,Luxembourg
10,New Zealand
11,Austria
12,Australia
13,Canada
14,Ireland
15,United States
16,Germany
17,Belgium
18,Czech Republic
19,United Kingdom
20,Lithuania
21,France
22,Slovenia
23,Costa Rica
24,Romania
25,Singapore*
26,United Arab Emirates
27,Taiwan
28,Uruguay
29,Slovakia*
30,Saudi Arabia
31,Estonia
32,Spain
33,Italy
34,Kosovo
35,Chile
36,Mexico
37,Malta
38,Panama
39,Poland
40,Nicaragua
41,Latvia
42,Bahrain*
43,Guatemala
44,Kazakhstan
45,Serbia*
46,Cyprus
47,Japan
48,Croatia
49,Brazil
50,El Salvador
51,Hungary
52,Argentina
53,Honduras
54,Uzbekistan
55,Malaysia*
56,Portugal
57,South Korea
58,Greece
59,Mauritius
60,Thailand
61,Mongolia
62,Kyrgyzstan
63,Moldova
64,China*
65,Vietnam
66,Paraguay
67,Montenegro*
68,Jamaica
69,Bolivia
70,Russia
71,Bosnia and Herzegovina*
72,Colombia
73,Dominican Republic
74,Ecuador
75,Peru
76,Philippines*
77,Bulgaria
78,  Nepal
79,Armenia
80,Tajikistan*
81,Algeria*
82,Hong Kong
83,Albania
84,Indonesia
85,South Africa*
86,"Congo, Republic of"
87,North Macedonia
88,Venezuela
89,Laos*
90,Georgia
91,Guinea
92,Ukraine
93,Ivory Coast
94,Gabon
95,Nigeria*
96,Cameroon
97,Mozambique
98,Iraq*
99,Palestine
100,Morocco
101,Iran
102,Senegal
103,Mauritania
104,Burkina Faso*
105,Namibia
106,Turkey*
107,Ghana
108,Pakistan
109,Niger
110,Tunisia
111,Kenya
112,Sri Lanka*
113,Uganda*
114,Chad
115,Cambodia
116,Benin
117,Myanmar*
118,Bangladesh
119,Gambia
120,Mali
121,Egypt
122,Togo
123,Jordan
124,Ethiopia
125,Liberia
126,India
127,Madagascar
128,Zambia*
129,Tanzania
130,Comoros
131,Malawi
132,Botswana
133,"Congo, Democratic Republic of"
134,Zimbabwe
135,Sierra Leone
136,Lebanon
137,Afghanistan
